,Up to Last Evidence,Total Evidence,Last Evidence,Posterior,Popularity,Class,Shift,Net,Game Net,Game,Nonsocial Probability Matching,Nonsocial Bayesian Probability Matching,Nonsocial Utility Maximizing,Naive Copying,Social Sampling (Probability Matching),Social Sampling (Bayesian)
48,0.6785714285714286,0.625,0.25,0.9992138324597416,0.25,uthug,8,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.35,0.22963113092825288,0.2502117821619897
49,0.35714285714285715,0.34375,0.25,0.015870232823281413,0.35,arpoep,8,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.4,0.2362967002999727,0.2572752419668177
50,0.6071428571428571,0.625,0.75,0.9992138324597416,0.6,azzitha,8,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.5,0.75,0.8205128205128205
51,0.6071428571428571,0.59375,0.5,0.9972538110206882,0.5,thuevil,8,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.8,0.5558333333333334,0.6204200276142724
52,0.6071428571428571,0.625,0.75,0.9992138324597416,0.65,noviid,8,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.35,0.7284612087441062,0.8034570637119114
53,0.5357142857142857,0.59375,1.0,0.9972538110206882,0.8,paked,8,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.0,1.0,0.9165200391006842
54,0.6785714285714286,0.65625,0.5,0.9997752544973401,0.65,cewab,8,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.9,0.5744444444444444,0.6380869732909074
55,0.7142857142857143,0.71875,0.75,0.9999816496408617,0.65,edarti,8,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.95,0.8079584775086505,0.8650651230101302
56,0.625,0.6111111111111112,0.5,0.9993979795498968,0.6,uthug,9,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.25,0.4534722222222222,0.5200920913446583
57,0.34375,0.3611111111111111,0.5,0.020628250482075446,0.65,arpoep,9,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.35,0.4720833333333333,0.5387421523830752
